Patient_name,Patient_id,Patient_ic,Patient_age,Patient_contact,Patient_email,Patient_emergancy
P0001,Ahmad Razak,950112-14-5567,31,012-3456789,ahmad.razak@email.com,0417416852
P0002,Tan Wei Ming,880520-10-5231,38,016-9876543,tan.wm@email.com,0254741874
P0003,Sarah Johnson,921105-08-6124,34,011-22334455,sarah.j@email.com,0104174152
P0004,Muthu Arumugam,750315-14-5009,51,014-5566778,muthu.a@email.com,0204171741
P0005,Chloe Lim,010809-01-5422,25,017-1122334,chloe.lim@email.com,0207418520
P0006,Nurul Izzah,991212-03-5098,27,019-8877665,nurul.i@email.com,0524174182
P0007,Robert Smith,820425-10-5543,44,010-4455667,robert.smith@email.com,0210541741
P0008,Lee Siew Lan,650730-05-5112,61,013-9900887,lee.sl@email.com,02011474175
P0009,Zainab Yusuf,900214-14-6010,36,012-6677889,zainab.y@email.com,02417417501
P0010,Daniel Wong,030501-14-5211,23,018-3344556,daniel.w@email.com,0101474171
P9090,Bart Kin,124574185203,40,1022025241,qugdyuqv@gmail.com,1414525263
P9561,Ben Chen,141741741852,50,0201417896,lihhgu@gmail.com,1417417414
